name,price,category,description
Harira / Chorba,500,Starters,Traditional Algerian soup
Chicken Bourek,350,Starters,Crispy pastry with chicken
Ground Meat Bourek,350,Starters,Crispy pastry with ground meat
Shrimp Bourek,400,Starters,Crispy pastry with shrimp
Tunisian Brick with Tuna,500,Starters,Tunisian style brick with tuna
Hmiss (grilled pepper salad),300,Starters,Grilled pepper salad
Mixed Salad,500,Starters,Fresh mixed vegetables
Tuna Salad,600,Starters,Fresh tuna salad
Chicken Caesar Salad,600,Starters,Classic Caesar with chicken
Pasta Salad with Vegetables,600,Starters,Pasta with fresh vegetables
Rice Salad with Veggies,600,Starters,Rice with mixed vegetables
Breaded Camembert,650,Starters,Breaded cheese
Tomato Mozzarella,700,Starters,Fresh tomato and mozzarella
Meat Ch'titha,1400,Main Dishes,Traditional Algerian meat stew
Chicken Ch'titha,1200,Main Dishes,Traditional Algerian chicken stew
M'tawem (Algerian dish),1400,Main Dishes,Traditional Algerian dish
Merguez Sausage Stew,1000,Main Dishes,Spicy sausage stew
Mixed Grill,2200,Main Dishes,Assorted grilled meats
Milanese-style Escalope,1300,Main Dishes,Breaded escalope
Chicken with Mushrooms,1450,Main Dishes,Chicken in mushroom sauce
Cordon Bleu,1550,Main Dishes,Chicken cordon bleu
Roasted Chicken Thighs,1000,Main Dishes,Roasted chicken thighs
Marinated Rump Steak,2200,Main Dishes,Marinated steak
Ribeye Steak,2400,Main Dishes,Premium ribeye steak
Grilled Liver,2500,Main Dishes,Grilled liver
Mesfouf with Green Peas,600,Main Dishes,Traditional couscous
Sweet Couscous (Zbib),600,Main Dishes,Sweet couscous dessert
Lemon Tart,500,Desserts,Fresh lemon tart
Daily Tart,500,Desserts,Chef's daily tart
Nutella Banana Cake,550,Desserts,Nutella and banana cake
Fruit Salad,500,Desserts,Fresh fruit salad
Chocolate Fondant,500,Desserts,Chocolate fondant
Chocolate Mousse,550,Desserts,Chocolate mousse
Nutella Speculoos Tiramisu,650,Desserts,Nutella tiramisu
1L Orange Juice,800,Drinks,Fresh orange juice
1L Lemon Juice,800,Drinks,Fresh lemon juice
1L Lemon & Mint Juice,800,Drinks,Refreshing lemon mint
1L Fresh Fruit Cocktail,800,Drinks,Mixed fruit cocktail 